Customer ID,Customer Name,Revenue,Profit,Orders
SM-20320,Sean Miller,25043.05,-1980.7393,5
TC-20980,Tamara Chand,19052.218,8981.3239,5
RB-19360,Raymond Buch,15117.338999999998,6976.0959,6
TA-21385,Tom Ashbrook,14595.62,4703.7883,4
AB-10105,Adrian Barton,14473.571,5444.8054999999995,10
KL-16645,Ken Lonsdale,14175.229,806.855,12
SC-20095,Sanjit Chand,14142.334,5757.4119,9
HL-15040,Hunter Lopez,12873.297999999999,5622.4292000000005,6
SE-20110,Sanjit Engle,12209.438,2650.6769,11
CC-12370,Christopher Conant,12129.072,2177.0492999999997,5
